movieId,movieTitle,createdById,createdAt,vote
1032,The Amazing Spider-Man 2,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:31.698,3
1341,Halloween Ends,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:34.314,0
441,Scary Movie,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:36.348,3
117,Drop Dead Fred,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:38.370,0
159,Lorenzo's Oil,cm2941ws30000f34owtbyuyxq,2024-10-1613:07:36.105,0
139,Basic Instinct,cm2941ws30000f34owtbyuyxq,2024-10-1613:07:39.419,5
1235,Ford v Ferrari,cm2941ws30000f34owtbyuyxq,2024-10-1613:07:42.468,4
493,Lara Croft: Tomb Raider,cm2941ws30000f34owtbyuyxq,2024-10-1613:07:44.998,4
924,Prometheus,cm2941ws30000f34owtbyuyxq,2024-10-1613:07:47.137,3
523,Ice Age,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:06.028,5
776,Inkheart,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:09.270,3
983,Tarzan,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:12.168,3
541,Road to Perdition,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:15.987,5
547,Kung Pow: Enter the Fist,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:18.223,5
551,K-19: The Widowmaker,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:21.900,2
256,Friday,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:24.003,5
1234,Knives Out,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:26.319,4
734,Halloween,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:29.139,3
286,101 Dalmatians,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:31.450,5
894,The Hangover Part II,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:34.863,4
272,Fluke,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:38.765,0
408,Star Wars: Episode I - The Phantom Menace,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:41.601,4
715,Night at the Museum,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:43.823,5
756,The Seeker: The Dark Is Rising,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:53.416,0
583,Batman: Mystery of the Batwoman,cm2941ws30000f34owtbyuyxq,2024-10-1613:34:57.138,5
581,Peter Pan,cm2941ws30000f34owtbyuyxq,2024-10-1613:35:00.358,5
7,Licence to Kill,cm2941ws30000f34owtbyuyxq,2024-10-1613:35:03.105,0
812,The Blind Side,cm2941ws30000f34owtbyuyxq,2024-10-1613:35:05.616,3
42,The Godfather Part III,cm2941ws30000f34owtbyuyxq,2024-10-1613:35:08.428,5
1261,The New Mutants,cm2941ws30000f34owtbyuyxq,2024-10-1613:35:11.739,0
54,Night of the Living Dead,cm2941ws30000f34owtbyuyxq,2024-10-1613:35:15.939,5
39,Lock Up,cm2941ws30000f34owtbyuyxq,2024-10-1613:35:20.878,0
1093,Sausage Party,cm2941ws30000f34owtbyuyxq,2024-10-1613:35:23.319,0
895,No Strings Attached,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:26.298,3
1168,Halloween,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:28.359,0
860,Shutter Island,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:30.158,0
1343,The Adam Project,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:32.816,4
1001,Fury,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:34.821,4
1014,Horrible Bosses 2,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:37.433,5
907,Rio,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:39.832,4
1347,Turning Red,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:42.500,0
945,Journey 2: The Mysterious Island,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:45.619,3
851,Shrek Forever After,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:47.682,4
399,The Faculty,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:50.038,0
518,Pearl Harbor,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:52.402,4
354,Kiss the Girls,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:54.815,0
328,Tomorrow Never Dies,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:37:57.160,4
813,Prison Break: The Final Break,cm2bvhvg7000045mtd46rgo5w,2024-10-1613:38:00.354,0
